date,total,dist_0_100,dist_100_200,dist_200_300,dist_300_plus,fringe_ratio_pct
2026-01-25,1258512,558681,545469,153997,365,12.265437278309623
2026-01-26,1295686,584263,546354,164303,766,12.739892226974744
2026-01-27,1367262,655093,551949,159668,552,11.718310023974922
2026-01-28,94900,30217,52172,12481,30,13.183350895679663
2026-02-11,45535,19926,19790,5786,33,12.779180849895685
2026-02-12,48709,21035,20229,7345,100,15.284649654068035
2026-02-13,53629,24091,21652,7791,95,14.704730649462045
2026-02-14,56001,26312,21936,7642,111,13.844395635792218
2026-02-15,56991,26962,22449,7486,94,13.300345668614344
2026-02-16,48212,21350,20461,6332,69,13.276777565751265
2026-02-17,46219,20441,19710,6046,22,13.12879984421991
2026-02-18,47513,22417,19351,5708,37,12.09142760928588
2026-02-19,47172,21395,19413,6327,37,13.4910540150937
2026-02-20,46779,21894,18880,5977,28,12.83695675409906
2026-02-21,47977,21118,19609,7174,76,15.111407549450778
2026-02-22,57311,27497,21725,7981,108,14.11421891085481
