date,date_iso,phase,phase_detail,n_minutes,os_mean_n_used,local_mean_n_unique,median_capture_ratio,os_max_km,local_max_km,median_capture_0-50,median_capture_50-100,median_capture_100-150,median_capture_150-200,median_capture_200-9999,local_nonzero_minutes,pos_file_exists,use_for_stats,skip_reason
20251225,2025-12-25,RTL-SDR,Unknown,69,15.753623188405797,0.0,0.0,228.536,0.0,0.0,0.0,0.0,0.0,,0,False,False,no_pos_file
20251226,2025-12-26,RTL-SDR,Unknown,1301,17.09531129900077,0.0,0.0,460.215,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20251227,2025-12-27,RTL-SDR,Unknown,1174,18.326235093696763,0.0,0.0,273.238,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20251228,2025-12-28,RTL-SDR,Unknown,650,12.62923076923077,0.0,0.0,270.691,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20251229,2025-12-29,RTL-SDR,Unknown,1263,18.601741884402216,0.0,0.0,278.468,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20251230,2025-12-30,RTL-SDR,Unknown,1225,16.637551020408164,0.0,0.0,297.933,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20251231,2025-12-31,RTL-SDR,Unknown,1245,16.383935742971886,0.0,0.0,267.685,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20260101,2026-01-01,RTL-SDR,Unknown,1170,16.467521367521368,0.0,0.0,268.939,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20260102,2026-01-02,RTL-SDR,Unknown,1176,16.96343537414966,0.0,0.0,302.366,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20260103,2026-01-03,RTL-SDR,Unknown,1156,15.217993079584774,0.0,0.0,268.64,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20260104,2026-01-04,RTL-SDR,Unknown,1165,16.86952789699571,0.0,0.0,374.459,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20260105,2026-01-05,RTL-SDR,Unknown,1171,19.104184457728437,0.0,0.0,285.935,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20260106,2026-01-06,RTL-SDR,Baseline,1163,16.094582975064487,0.0,0.0,286.811,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20260107,2026-01-07,RTL-SDR,Baseline,1228,16.403908794788272,0.0,0.0,281.969,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20260108,2026-01-08,RTL-SDR,Baseline,1163,16.8323301805675,0.0,0.0,282.174,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20260109,2026-01-09,RTL-SDR,Vinnant 8-p,1268,16.555205047318612,0.0,0.0,276.625,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20260110,2026-01-10,RTL-SDR,Gain 33.8 + Thr 8/9,1308,30.35244648318043,0.0,0.0,311.667,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20260111,2026-01-11,RTL-SDR,Gain 36.4→38.6,1391,27.0215672178289,0.0,0.0,304.149,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
20260112,2026-01-12,RTL-SDR,Gain 40.2→43.4,1375,27.910545454545453,0.0,0.0,329.912,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,no_pos_file
