minute_key,date,date_iso,phase,phase_detail,os_n_total,os_n_used,os_km_max,os_km_avg,local_n_unique,local_km_max,capture_ratio,os_bin_0-50,local_bin_0-50,capture_bin_0-50,os_bin_50-100,local_bin_50-100,capture_bin_50-100,os_bin_100-150,local_bin_100-150,capture_bin_100-150,os_bin_150-200,local_bin_150-200,capture_bin_150-200,os_bin_200-9999,local_bin_200-9999,capture_bin_200-9999
29445042,20251225,2025-12-25,RTL-SDR,Unknown,16,15,187.982,89.288,0,0.0,0.0,4.316000276224018,0,0.0,6.132644645229394,0,0.0,2.678888862330371,0,0.0,1.8724662162162165,0,0.0,0.0,0,
29445055,20251225,2025-12-25,RTL-SDR,Unknown,22,18,167.737,86.994,0,0.0,0.0,5.68368403768914,0,0.0,5.002237384200476,0,0.0,5.67459355446351,0,0.0,1.6394850236468737,0,0.0,0.0,0,
29445055,20251225,2025-12-25,RTL-SDR,Unknown,22,16,156.068,74.485,0,0.0,0.0,5.368839256952646,0,0.0,6.684647895643054,0,0.0,3.611449346576027,0,0.0,0.33506350082827296,0,,0.0,0,
29445056,20251225,2025-12-25,RTL-SDR,Unknown,17,14,150.436,72.246,0,0.0,0.0,5.046354369421977,0,0.0,5.842902095227201,0,0.0,3.0287886481327755,0,0.0,0.08195488721804667,0,,0.0,0,
29445057,20251225,2025-12-25,RTL-SDR,Unknown,20,17,169.828,76.303,0,0.0,0.0,5.977160216021603,0,0.0,7.390387197307906,0,0.0,2.6248212825189943,0,0.0,1.0076313041514977,0,0.0,0.0,0,
29445058,20251225,2025-12-25,RTL-SDR,Unknown,20,18,159.814,76.915,0,0.0,0.0,6.750573798772896,0,0.0,7.159905243143271,0,0.0,3.210130277080248,0,0.0,0.8793906810035852,0,0.0,0.0,0,
29445059,20251225,2025-12-25,RTL-SDR,Unknown,19,15,114.839,68.531,0,0.0,0.0,6.482169711845949,0,0.0,6.587924749296172,0,0.0,1.929905538857879,0,0.0,0.0,0,,0.0,0,
29445060,20251225,2025-12-25,RTL-SDR,Unknown,19,16,112.279,66.793,0,0.0,0.0,7.310075111021765,0,0.0,6.098148317992974,0,0.0,2.5917765709852603,0,0.0,0.0,0,,0.0,0,
29445061,20251225,2025-12-25,RTL-SDR,Unknown,19,16,174.152,76.407,0,0.0,0.0,6.320912739799628,0,0.0,5.130757021193064,0,0.0,3.816090878716256,0,0.0,0.732239360291052,0,0.0,0.0,0,
29445062,20251225,2025-12-25,RTL-SDR,Unknown,20,14,131.278,69.212,0,0.0,0.0,6.198859409868584,0,0.0,4.478376039209401,0,0.0,3.322764550922015,0,0.0,0.0,0,,0.0,0,
29445063,20251225,2025-12-25,RTL-SDR,Unknown,20,14,176.419,76.254,0,0.0,0.0,5.4920052095592276,0,0.0,5.088312093365908,0,0.0,2.8407358229553386,0,0.0,0.5789468741195256,0,0.0,0.0,0,
