date,time_bin,auc_sum,total_packets,minutes,traffic_proxy,post
2025-12-26,08-10,2032,2526,122,263.5,0
2025-12-26,10-12,3000,3719,120,263.5,0
2025-12-26,12-14,2986,3741,120,263.5,0
2025-12-27,00-02,579,708,120,263.5,0
2025-12-27,02-04,630,784,120,263.5,0
2025-12-27,04-06,282,357,120,263.5,0
2025-12-27,06-08,936,1146,120,263.5,0
2025-12-27,08-10,2172,2723,120,263.5,0
2025-12-27,10-12,2930,3640,120,263.5,0
2025-12-27,12-14,2587,3237,120,263.5,0
2025-12-27,14-16,2791,3457,120,263.5,0
2025-12-27,16-18,2648,3196,120,263.5,0
2025-12-27,18-20,2883,3476,120,263.5,0
2025-12-27,20-22,2477,2983,120,263.5,0
2025-12-27,22-24,1175,1385,120,263.5,0
2025-12-28,00-02,278,387,120,263.5,0
2025-12-28,02-04,358,477,120,263.5,0
2025-12-28,04-06,142,178,120,263.5,0
2025-12-28,06-08,977,1232,120,263.5,0
2025-12-28,08-10,1955,2398,113,263.5,0
2025-12-28,16-18,3310,4166,120,263.5,0
2025-12-28,18-20,3039,3773,120,263.5,0
2025-12-28,20-22,2318,2818,120,263.5,0
2025-12-28,22-24,1015,1250,120,263.5,0
2025-12-29,00-02,311,409,120,263.5,0
2025-12-29,02-04,361,462,120,263.5,0
2025-12-29,04-06,178,233,120,263.5,0
2025-12-29,06-08,1049,1326,120,263.5,0
2025-12-29,08-10,2094,2606,120,263.5,0
2025-12-29,10-12,2492,3145,120,263.5,0
2025-12-29,12-14,2945,3668,120,263.5,0
2025-12-29,20-22,2260,2752,120,263.5,0
2025-12-29,22-24,1067,1288,120,263.5,0
2025-12-30,00-02,539,692,120,263.5,0
2025-12-30,02-04,695,849,120,263.5,0
2025-12-30,04-06,188,246,120,263.5,0
2025-12-30,06-08,1036,1298,120,263.5,0
2025-12-30,08-10,2257,2823,120,263.5,0
2025-12-30,10-12,2518,3123,120,263.5,0
2025-12-30,12-14,2432,2986,119,263.5,0
2025-12-30,14-16,2905,3669,117,263.5,0
2025-12-30,16-18,4178,5163,120,263.5,0
2025-12-30,18-20,2919,3628,120,263.5,0
