date,sample_count,los_efficiency
2026-01-25,1026664,4105.109289070215
2026-01-26,1010342,4105.134438321345
2026-01-27,1051360,4104.702274661335
2026-01-28,84590,4107.063168025361
2026-02-11,36929,4101.828682708936
2026-02-12,37669,4105.036794388626
2026-02-13,40098,4104.516002784916
2026-02-14,39604,4107.445959365023
2026-02-15,40843,4105.824419396993
2026-02-16,38285,4107.248749801812
2026-02-17,36168,4106.721399038329
2026-02-18,36149,4105.910873021645
2026-02-19,35204,4106.439369401914
2026-02-20,35377,4105.529753937512
2026-02-21,36863,4106.672644035371
2026-02-22,40400,4105.739270459711
2026-02-23,41532,4105.256938958508
2026-02-24,36722,4106.133279863814
2026-02-25,31163,4105.721699391201
2026-02-26,39254,4107.670048774447
2026-02-27,41815,4107.202247827761
